index,text,label,spacy_label
1129,next the foot was prepped and draped in the usual aseptic fashion bilaterally,foot,
6942,bladder tumor and specimen from base of bladder tumor,bladder tumor,bladder tumor bladder tumor
11583,there is no blurring of the vision itching throat or neck pain or neck fullness,neck,
6267,the pelvis was copiously irrigated,pelvis,pelvis
6463,the patient was re intubated by anesthesia with a double lumen endotracheal tube,endotracheal anesthesia tube,patient lumen endotracheal tube
7731,a hct scan was obtained and he was transferred to uihc neurosurgery,neurosurgery,hct
6562,the placenta was manually removed and the uterus was exteriorized and cleared of all clots and debris,uterus,placenta uterus clots
6556,a veress needle and a step sheath were inserted through this incision,incision needle,sheath
11532,the umbilical port was removed using laparoscopic guidance,laparoscopic,umbilical port
5383,left heart cath selective coronary angiogram right common femoral angiogram and starclose closure of right common femoral artery,artery coronary femoral heart,heart coronary right common femoral artery
8388,ct brain showed large enhancing 4 x 4 x 3 cm suprasellar sellar mass without surrounding edema,ct brain mass,brain suprasellar sellar
9990,atrial septum intact,atrial,
403,the hernia neck measures approximately ,hernia neck,
11126,the resting echocardiogram showed a sinus rhythm at 70 beats per minute,echocardiogram,
3750,the incision was then deepened using 15 blade down to the level of the subcutaneous tissue,incision,subcutaneous tissue
5492,bilateral diagnostic mammogram and right breast ultrasound,ultrasound breast,
2547,the previously noted cervical exam was confirmed,cervical,cervical
10529,he was admitted the night before surgery and given hemodialysis and had close blood sugar monitoring in control,surgery,blood sugar
5400,pain buster catheter was hooked up,catheter,
7089,adrenal mass right sided,mass,adrenal
11035,the pneumatic ankle tourniquet was released and immediate hyperemic flush was noted throughout all digits of the left foot,tourniquet foot,hyperemic
10677,there is diffuse osteopenia along with significant degenerative changes in the lower lumbar spine,lumbar spine,
1187,the scarpa s fascia was then closed with interrupted 3 0 vicryl suture,fascia,scarpa s fascia
9038,it forms the left anterior descending artery the ramus branch and the circumflex artery,artery anterior,artery circumflex artery
709,she now presents for revision of her hardware extension of fusion and decompression,decompression,
6629,the right neck chest and left arm were prepped and draped in a sterile fashion,chest neck,right neck left arm
7760,this was dissected out bluntly and sharply with metzenbaum scissors and monopolar used for hemostasis,hemostasis,
2445,the head and neck by inspection showed no obvious deformity,neck,head and neck
8823,the specimen of temporal artery was taken from both sides measuring at least 2 to 3 cm,artery,artery
7793,the patient appears to have had worsening headaches since shunt adjustment back after an mri,mri,patient
4533,significant for cholecystectomy in 2008 for gallstones,cholecystectomy,
4485,rest of general exam unremarkable except for numerous abdominal scars,abdominal,abdominal
4848,anterior cervical discectomy at c4 c5 c5 c6 and c6 c7 for neural decompression 63075 63076 63076 ,cervical anterior discectomy decompression,cervical c4 c5 c5 c6 c6 c7
1973,the medial intramuscular septum was excised and the flexor carpi ulnaris fascia was divided,fascia,medial intramuscular septum flexor carpi ulnaris fascia
9035,general endotracheal anesthesia was obtained,endotracheal anesthesia,endotracheal
8684,a 2 0 vicryl was then used to approximate the subcutaneous skin and staples for the skin incision,incision,skin skin
11128,adenocarcinoma of prostate erectile dysfunction,prostate,adenocarcinoma prostate erectile
10358,the upper aspect of fascia was then closed with pursestring suture of 4 0 chromic,fascia,fascia
383,an endoscopy is being done to evaluate for source of upper gi bleeding,bleeding endoscopy,upper gi
6181,85 mm keratome blade was then used to penetrate into the anterior chamber through the temporal tunneled incision,incision anterior,anterior chamber
10952,upon admission she had complaints of constant left sided chest pain that radiated to her left arm,chest,
12013,heart rate is normal,heart,heart
6450,x ray of chest did not show any infiltrate but showed dilatation of the stomach,chest stomach,stomach
5703,the patient was brought to the operating room where a general endotracheal anesthesia was induced without complication,endotracheal anesthesia,patient endotracheal
5848,denies any bleeding anywhere else,bleeding,
7287,benign with g tube in place,tube,tube
6248,there is sludge in the gallbladder wall versus a stone in the gallbladder wall,gallbladder,gallbladder wall stone gallbladder wall
1131,laparoscopic cholecystectomy and appendectomy cpt 47563 44970 ,laparoscopic cholecystectomy,
996,an incision was made midline to the anterior body of the sternocleidomastoid at c5 c6 level,incision anterior,midline anterior body sternocleidomastoid c5 c6
11646,a guidewire was passed without difficulty and the needle was removed,needle,
8585,occasionally the eardrum does not heal completely when the tube comes out,tube,eardrum tube
1145,hemostasis was again achieved with wet field cautery,hemostasis,
2622,biopsy 4r lymph nodes lymphoid tissue negative for malignancy,biopsy,biopsy 4r lymph nodes lymphoid tissue
9518,comparison is made with the prior ct abdomen and pelvis dated 10 20 0,abdomen ct pelvis,abdomen pelvis
2786,chest tube was placed and meticulous hemostasis was present,chest hemostasis tube,chest tube
5487,resulting in significant hypoxic brain injury where he has been left with static encephalopathy and cerebral palsy,brain,brain cerebral
7950,the incision was made with a 15 blade bard parker knife,incision,
4756,steroid injection stenosing tenosynovitis of right middle finger,injection,
8265,at this time the right ankle tourniquet was deflated,tourniquet,
7850,after adequate hemostasis the fascia was bluntly and sharply separated up from the underlying rectus muscle,hemostasis fascia,fascia muscle
11110,the case to be discussed at combined cardiology cardiothoracic surgery case conference,surgery,
22,disc heights signal and vertebral body heights are maintained throughout the lumbar spine,lumbar spine,vertebral body lumbar spine
4492,benign without guarding rigidity tenderness mass or organomegaly,mass,
4807,in this manner the cystic duct and cystic artery were dissected out,artery,cystic duct cystic artery
272,ultimately provided that the original pathology of the thyroid tumor with iodine avid pet scanning may be necessary,tumor,thyroid tumor iodine avid
5724,a 2 0 nylon was used to secure the cuff down to the catheter at the skin level,catheter,skin
7335,incision and drainage with extensive debridement left shoulder,incision shoulder,
9489,deep tendon reflexes reveal hyporeflexia in both patellae which probably represents a cervical myelopathy from prior cord compression,cervical tendon,patellae cervical cord
4160,after uneventful general anesthesia was obtained her right leg was sterilely prepped and draped in a normal fashion,anesthesia,
3026,prostate is smooth and not enlarged,prostate,prostate smooth
9005,utilizing the beam s eye view features the appropriate blocks are designed,eye,eye
4078,hallux valgus right foot,foot,
10283,the hepatic ascending cecum and ileocecal valve was visualized and was normal,cecum,hepatic ascending cecum
6932,1 ml of contrast was used to confirm position under fluoroscopy after aspiration,contrast fluoroscopy,
5470,once the catheter was advanced through the sheath the sheath was peeled away,catheter,sheath the sheath
8722,local infiltration anesthesia with 1 xylocaine and 1 100 000 epinephrine was infiltrated in upper and lower eyelids,anesthesia,xylocaine epinephrine upper eyelids
9370,the proximal extent of dissection was the left hypogastric artery to the level of the node of cloquet distally,artery,hypogastric artery node cloquet
11174,there is no impairment for findings in shoulder external rotation,shoulder,
4069,she also has bilateral total knee replacements with stovepipe legs and parimalleolar pitting adema 1 ,knee,legs parimalleolar
1640,he is being admitted at this time for myringotomy and tube insertion under general facemask anesthesia,anesthesia tube,tube
1750,generalized abdominal pain nausea diarrhea and recent colonic resection in 11 0,abdominal nausea,abdominal colonic
9822,at the time of admission he had a lot of epigastric pain nausea vomiting fever and chills,nausea,epigastric chills
7079,electrocautery was used to stop any bleeding encountered along the way,bleeding electrocautery,
9742,they were not associated with nausea vomiting photophobia phonophobia or difficulty thinking,nausea,photophobia
6663,ct pelvis with contrast and ct abdomen with and without contrast,abdomen ct contrast pelvis,pelvis abdomen
302,using the visual obturator the resectoscope was then inserted per urethra into the bladder,bladder,urethra bladder
3048,her incision looks good,incision,
6007,chest pains cad and cardiomyopathy,chest,cad
1171,a preliminary report was called by the ultrasound technologist to the referring physician,ultrasound,
8307,the catheter was then placed in the left femoral vessel _______,catheter femoral,______
1720,subglottic stenosis down to 5 mm with mature cicatrix,stenosis,subglottic
10935,there was no bleeding or drainage,bleeding,
11492,the external carotid artery was occluded at its origin,artery,carotid artery
11984,cataract to right eye,eye cataract,eye
4636,we applied vascular clamps on the proximal common femoral profunda and superficial femoral arteries,femoral,vascular superficial femoral arteries
2579,the right coronary is dominant,coronary,
8603,cystoscopy cryosurgical ablation of the prostate,cystoscopy prostate,prostate
2110,anesthesia then administered some sedation which she tolerated well,anesthesia,
2448,her swelling was about 1 ,swelling,
3404,i did advise her that i would recommend they came under anesthesia and dilation and curettage,anesthesia,
5611,the abdomen was explored with findings as noted,abdomen,abdomen
10561,the right median motor distal latency and evoked response amplitude is normal,distal,
5874,a ring clamp and two allis clamps were placed around the margin of the uterine incision for hemostasis,incision hemostasis,uterine
1574,fascia was closed with 3 0 vicryl subcuticular 3 0 dermabond for skin,fascia,skin
153,just prior to closing we de aired the heart and gave a warm shot of antegrade and retrograde cardioplegia,heart,heart antegrade retrograde cardioplegia
11937,ct documented needle placement,ct needle,
11554,a sterile dressing was then placed over the incision,incision,
11718,needle count sponge count and cottonoid count were correct,needle,
9699,the fiberoptic nasal laryngoscope was inserted in the patient s right naris and then the left naris,nasal,patient
9873,the patient s hyolaryngeal elevation and anterior movement are within functional limits,anterior,patient
37,jackson pratt drains were placed and camper s fascia was approximated with simple interrupted stitches,fascia,
8952,she will continue to follow with endocrinology for diabetes and thyroid problems,diabetes,thyroid
5335,finally the multilumen catheter itself was inserted over the guidewire,catheter,
5656,this is a return visit for this patient who has refractory hypertension,hypertension,patient
10996,patient has had diagnosis of right breast cancer in 1984 with subsequent radiation therapy,breast,patient right breast cancer
3339,given the lack of contrast liver spleen adrenal glands and the pancreas appear grossly unremarkable,contrast,liver spleen pancreas
3450,the oropharynx is normal without any sign of infection,infection,oropharynx
1283,a retrograde cardioplegia catheter was positioned at this site,catheter,retrograde cardioplegia catheter
4655,we marked the renal arteries aortic bifurcation and bifurcation common iliac arteries,renal,renal arteries
3996,normal tubes and ovaries normal gallbladder smooth liver edge,gallbladder,tubes ovaries gallbladder smooth liver
6894,chronic obstructive pulmonary disease,pulmonary,pulmonary
1958,the muscular fascia was also infiltrated with ,fascia,muscular fascia
818,special mention was made of the possibility of infection and necrosis of the heel pad,infection,
4249,the patient has a family history of breast cancer within her mother at age 5,breast,patient breast cancer
9662,there was no evidence of mass ulceration or bleeding,bleeding mass,
7438,she is here to discuss possible open lung biopsy that she has actually scheduled for tomorrow,biopsy,lung biopsy
9290,the left ventricular cavity appeared normal in size,ventricular,ventricular cavity
4898,the effects of eye dilation drops will gradually decrease,eye,eye
10765,the biceps tendon was then tenodesed under tension to the conjoint tendon,tendon,biceps tendon
2568,the external carotid artery shows no disease,artery,carotid artery
1565,there was no evidence of untoward bleeding at biopsy sites,biopsy bleeding,biopsy sites
786,she has lost strength in the left shoulder,shoulder,
8367,she underwent anterior cruciate ligament reconstruction by dr,anterior ligament,anterior cruciate dr
7983,the resting heart rate was 57 with the resting blood pressure 143 9,heart,heart blood pressure
7099,an acumed accu lock plate was placed along the volar aspect of the distal radius,distal,accu lock plate volar
7131,there were a few small areas of bleeding along the staple line which were treated with pinpoint electrocautery,bleeding electrocautery,
9548,the tonsil was freed from anterior pillar and posterior pillar,anterior,tonsil pillar
9678,risk of anesthesia bleeding infection pain hernia bowel obstruction ileus injury to bowel postoperative bleeding etc,anesthesia infection hernia bleeding,bowel bowel
6234,abc is a 52 year old male who has had approximately eight days of erythema over his knee,knee,erythema
11264,then after stent placement there was 0 residual stenosis however there was partial occlusion of the third posterolateral branch,stenosis,posterolateral branch
2826,a fresh myringotomy was made in the anterior inferior quadrant,anterior,anterior inferior
2966,hopefully under his current anticoagulation there will be some resolution of his renal vein thrombosis,renal,
7029,htn stroke coronary artery disease melanoma,artery coronary,coronary artery
11613,this incision was then shelved anteriorly and used to enter the anterior chamber,incision anterior,anterior chamber
2093,laparoscopic assisted vaginal hysterectomy,laparoscopic,vaginal
1147,with regard to the radiculopathy i believe this can be treated non operatively to begin with,radiculopathy,
337,bleeding was controlled with bipolar electrocautery and surgiflo,bleeding electrocautery,bipolar electrocautery
2444,epiretinal membrane right eye,eye,epiretinal membrane eye
6196,the patient felt slightly dizziness but there was no chest pain or ekg changes,chest,patient
9992,this 53 year old caucasian female who had a nonpalpable neoplasm detected by mammography in the right breast,breast,female nonpalpable neoplasm
8168,viral respiratory illness,respiratory,
3171,he was then taken emergently to cardiac catherization and was found to have normal coronary arteries,coronary,cardiac coronary arteries
6291,she was seen in the preoperative holding area where the surgery was discussed accordingly and markings were applied,surgery,
7833,the patient is admitted for lung mass and also pleural effusion,mass,patient lung pleural
2165,the patient has normal and symmetric respiratory effort,respiratory,patient
76,normal male breast tissue,breast,breast tissue
7315,excision of the olecranon bursa was performed,excision,
6761,the stomach was then decompressed and the endoscope was withdrawn,stomach,stomach
10331,the aorta was dissected out in the abdomen,abdomen,aorta abdomen
6810,a little bit of swelling of the turbinates on the left,swelling,turbinates
4475,the patient and family understood all the risks and benefits in order to proceed with the surgery,surgery,patient
7289,it was tracked proximally and transverse ligament released,ligament,
4189,lesion reduction in the left maintained coronary artery from 50 to 0 and timi 3 flow obtained,artery coronary,coronary artery
3167,prostate cancer metastatic,prostate,prostate cancer
614,there were some pelvic adhesions in the right abdominal wall as well,abdominal,pelvic adhesions
8327,capsule and periosteum was reflected off the first metatarsal head,metatarsal,periosteum
11617,x from ear nose and throat surgery,surgery,ear nose
2367,revision right breast reconstruction,breast,
765,an echocardiogram showed an ejection fraction of 70 without significant valvular heart disease,heart echocardiogram,heart
11337,resting heart rate of 66 and blood pressure of 88 4,heart,heart blood
3774,otherwise normal colonoscopy to the terminal ileum,colonoscopy,ileum
3139,mild heterogeneous plaque seen in common carotid artery and external carotid artery,artery,carotid artery carotid artery
4166,the g tube site looks fairly clean today and healthy,tube,tube
6583,beginning on the left upper lid the skin excision was completed,excision,skin
3120,posterior bone cut was made for the medium femoral component,femoral,bone femoral
11647,chest shows good air entry bilaterally with scattered rhonchi,chest,
11330,the patient was placed under general endotracheal anesthesia,endotracheal anesthesia,patient endotracheal
277,prestige graspers were used to pull the specimen from the chest wall,chest,
11039,considerable mass effect is exerted upon the right lateral ventricle near totally obliterating its contour,mass,
10874,the patient was prepped and draped at the bedside over both chest tube sites,chest tube,patient chest tube sites
4469,antral mass,mass,antral
10801,the large bowel demonstrates significant diverticulosis coli of the sigmoid and distal descending colon without evidence of diverticulitis,distal,bowel sigmoid colon
5013,thereafter the lumbar spine was serially prepped and draped,lumbar spine,lumbar spine
872,direct hemostasis pressure was applied to assist with bruising,hemostasis,
5966,next the dorsey suction irrigator was used to copiously irrigate the abdomen,abdomen,abdomen
10641,other abdominal viscera including the diaphragm liver spleen omentum small and large bowel and peritoneal surfaces were palpably normal,abdominal,viscera bowel peritoneal palpably
2356,abdominal insufflation was performed,abdominal,
4014,showed severe compression of the median nerve on the left at the wrist,nerve,
10429,the wound was packed and attention was turned to the left breast,breast,wound
5066,this patient was found to have a visually significant posterior capsule opacity in the right eye,eye,patient posterior capsule eye
2933,there is no rectal mass,mass,rectal
2007,general endotracheal and injectable ,endotracheal,endotracheal
4741,the atrial septum was not probe patent,atrial,septum
685,chest x ray ordered by er physician is unremarkable but to me also,chest,
6787,infected right hip bipolar arthroplasty status post excision and placement of antibiotic spacer,excision,
9428,patient began external beam radiation therapy to the pelvis,pelvis,patient pelvis
8153,a video laparoscope was inserted into the infraumbilical trocar site and the abdomen was explored,abdomen,abdomen
2985,evaluation revealed no further bleeding,bleeding,
5049,left little finger extensor tendon laceration,tendon,extensor tendon laceration
2327,monitored anesthesia care with regional anesthesia applied by surgeon,anesthesia,
4455,a red rubber robinson catheter was inserted through the left naris and the soft palate was retracted superiorly,catheter,
11285,ultrasound abdomen,abdomen ultrasound,abdomen
6915,large complex cystic left ovarian mass as described,mass,
11374,general oral endotracheal,endotracheal,oral endotracheal
5038,cardiac catheter was determined by thermal dilution,catheter,cardiac catheter
9314,hemostasis was controlled with the bovie,hemostasis,
4062,there was a large deficit in the weightbearing portion of medial femoral condyle,femoral,medial femoral condyle
6614,last mri brain was done in 2001 reportedly normal,mri brain,brain
7636,the phrenoesophageal membrane was divided on the anterior aspect of the hiatal orifice,anterior,membrane hiatal orifice
6195,grade 1 compound fracture right mid shaft radius and ulna with complete displacement and shortening,fracture,shaft radius
11178,he will elevate his right foot and rest the foot keep it clean and dry,foot,
10291,next a 10 blade was used to make approximately a 3 cm curvilinear s shaped incision,incision,
7232,the fascia was incised transversely,fascia,fascia
1996,hemostasis was achieved with a high temp disposable cautery,hemostasis,
9483,closure was with a 6 french angio seal of the artery and the venous sheath was sutured in,artery,artery venous sheath
3564,the heart rate recovered in a normal fashion after using metoprolol 5 mg,heart,heart metoprolol
626,a straight anterior incision was carried down through the skin and subcutaneous tissue,incision anterior,skin subcutaneous tissue
4219,external hemorrhoids otherwise unremarkable colonoscopy,colonoscopy,
4509,the tourniquet was deflated and the wound had excellent hemostasis,tourniquet hemostasis,wound
281,care was taken to avoid the medial neurovascular bundle and the lateral extensor hallucis longus tendon,tendon,medial neurovascular lateral extensor hallucis longus
11800,the second diagonal branch is unremarkable as are the tiny distal diagonal branches,distal,
10496,the patient went to surgery on the day of admission,surgery,patient
1561,lid speculum placed in his right eye,eye,eye
2430,a capsuloperiosteal incision was made with a 15 blade in a linear fashion down to the bone,incision,capsuloperiosteal bone
11229,the anterior chamber remained formed and the pupil remained round and appeared so at the end of the case,anterior,anterior chamber
8612,lastly trichloroacetic acid chemical peel treatment to the left lateral nasal skin was performed,nasal,trichloroacetic acid peel lateral nasal
2455,the baby s anterior shoulder delivered after a less than 30 second delay,anterior shoulder,
5264,the left ventriculogram demonstrates hypokinesis of the distal half of the inferior wall,distal,wall
5696,the infant was handed to the respiratory therapist,respiratory,respiratory
3428,there was also cystic area in the anterior aspect of the shoulder which was fairly fibrinous,anterior shoulder,
2704,open reduction right both bone forearm fracture with placement of long arm cast,fracture,bone forearm long arm
8744,8 mm metal keratome blade was then used to fashion a clear corneal beveled incision temporally,incision,corneal
7484,she stopped taking it soon after since they worsened her eye vision and balance,eye,eye
10667,no evidence for calcified renal or ureteral stones,renal,ureteral stones
4095,a guidewire was then passed through the cook needle and the cook needle was then removed,needle,
2821,significant for arthritis in her knee anxiety depression high insulin levels gallstone attacks and pcos,knee,insulin
3642,there was stenosis in the mid venous limb of the graft,stenosis,venous limb of graft
10059,at this point the nerve root was visually inspected and observed to be decompressed,nerve,nerve root
138,the patient did undergo echocardiogram which shows aortic stenosis severe,stenosis echocardiogram,patient aortic
4410,the scope was then removed throughout the esophagus which was normal,esophagus,esophagus
9902,the right common femoral artery and vein sheaths were both sutured in place for further observation,artery femoral,femoral artery vein sheaths
7678,using 1 lidocaine the right groin was infiltrated and using the seldinger technique the right femoral artery was cannulated,artery femoral,
8221,surgery to remove adenoids if they are enlarged,surgery,adenoids
6525,transposition of anterior crossing vessels on the right,anterior,anterior crossing vessels
3607,great care was taken to direct the plane of dissecting superficial to the parotid fascia or smas,fascia,superficial parotid fascia
7242,fluoroscopy showed good catheter disposition in the superior vena cava,catheter fluoroscopy,
5589,status post cholecystectomy with mild intrahepatic biliary ductal dilatation,cholecystectomy,biliary ductal
3599,post dobutamine increment dose his peak heart rate achieved was 125 which is 87 of the target heart rate,heart,heart heart
1207,the anterior tonsillar pillars were infiltrated with ,anterior,tonsillar
8979,pneumatosis coli in the cecum,cecum,cecum
9425,the incision was performed with a 15 blade,incision,
2939,the wound was irrigated thoroughly and was inspected carefully for any sites of bleeding and there were none,bleeding,wound
5190,then the fascia was closed using subcuticular suture of monocryl,fascia,fascia subcuticular suture
661,excision of neuroma third interspace left foot,foot excision,neuroma interspace left
5386,the patient is a 56 year old noted to have microscopic hematuria with overactive bladder,bladder,patient bladder
9308,blood glucose records and food diaries are reviewed by the diabetes educator and the dietician,diabetes,blood glucose
10688,we did place some steroid over the nerve root and readied for closure,nerve,nerve root
1679,there was an obvious skin lesion there and this gentleman has a history of squamous cell carcinoma,carcinoma,skin gentleman squamous cell carcinoma
9885,metzenbaum scissor was used to cut the hernia sac and sending it off as a specimen,hernia,sac
3277,laparoscope was placed through this incision and the patient s abdominal contents were visualized,incision abdominal,patient
5215,the patient requested surgical intervention and need for total knee replacement,knee,patient
1330,the facial nerve was stimulated at the brainstem and stimulated easily at ,nerve,facial nerve brainstem
9049,again copious amount of irrigation was performed and good hemostasis was obtained,hemostasis,
7645,a 3 mm balloon was chosen to dilate a 50 to 79 popliteal artery stenosis,artery stenosis,popliteal artery
851,jackson pratt drain was placed in the prevertebral space and brought out through a separate incision,incision,prevertebral
4365,the visible larger bleeding vessels were oversewn by using 4 0 vicryl suture,bleeding,vessels
4596,hiatal hernia gastroesophageal reflux disease reflux,hernia,hiatal hernia gastroesophageal
10738,three images of the right foot were obtained,foot,
10441,general anesthesia was induced in the usual fashion,anesthesia,
3074,she has had no chest pain or cardiac problems,chest,cardiac
4392,no fevers no headaches chest pain nausea shortness of breath or change in appetite,chest nausea,
7451,heart is regular rate and rhythm without murmur rub or gallop,heart,heart
5371,the incision reached the orbicularis and steven scissors were used to separate the tarsus from the underlying orbicularis,incision,orbicularis steven scissors tarsus orbicularis
4776,followup on diabetes mellitus status post cerebrovascular accident,diabetes,cerebrovascular
5908,cystoscopy blockage of the urethra by a markedly enlarged prostate,cystoscopy prostate,urethra prostate
11238,general inhalational anesthesia was administered through the patient s existing ,anesthesia,patient
5191,total anomalous pulmonary venous connection,pulmonary,pulmonary venous
4696,since that time she has had right low neck pain and left low back pain,neck,right low neck
335,significant for high blood pressure and diabetes as well as cancer on her father side,diabetes,blood cancer
5149,patient needs staging ct of chest with contrast,ct chest contrast,patient
4638,calcification of the mid abdominal aorta with wide patency of all vessels,abdominal,abdominal aorta vessels
2061,tricuspid valve and pulmonary valve are structurally normal,pulmonary,tricuspid valve pulmonary valve
6680,at this point the peritoneum and posterior fascia was closed around the catheter,catheter fascia,peritoneum posterior fascia
4591,the patient does have a large pedunculated penile mass,mass,patient
613,risks and benefits of the surgery were discussed,surgery,
10975,the right femoral artery was cannulated with an 18 guage needle followed by a 6 french vascular sheath,artery needle femoral,vascular sheath
9164,left renal cyst decortication,renal,
10695,specimens were taken and send for frozen section analysis which showed probable metastatic carcinoma,carcinoma,
5093,the patient has history of previous right foot infection requiring first ray resection,foot infection,patient
3785,5 cm incision was made over the volar aspect of the a1 pulley of the right middle finger,incision,volar
1723,hemostasis was revised,hemostasis,
10838,the patient underwent a bier block by the department of anesthesia on the upper extremity,anesthesia,patient upper extremity
9264,family history is negative for hypertension and stroke,hypertension,
10779,the anterior chamber was filled with viscoat,anterior,anterior chamber viscoat
5512,effusion within the knee was noted,knee,
160,once the cement had hardened the tourniquet was deflated,tourniquet,
6400,at this point under fluoroscopic control i did attempt to see a fracture,fracture,
4767,this is a 9 year old male with congenital brain malformation and intractable epilepsy,brain,brain
3705,a drain was then placed within the knee,knee,
873,there were no other abnormalities noted in the inguinal scrotal region,inguinal,
1725,since she has only one seeing eye i am anxious to obtain a decreased inflammation as soon as possible,eye,eye
11173,please note that the dissection was relatively technically challenging due to extensive adhesions between the prostate and denonvilliers fascia,fascia prostate,prostate
11645,the arachnoid was taken down off the tumor,tumor,arachnoid tumor
10086,a curvilinear incision was made over the area of bony prominence,incision,
4193,the knee was again copiously irrigated and suctioned dry,knee,
10500,no chest pain or shortness of breath,chest,shortness
5282,auscultation of the heart revealed s1 and s2 with regular rate with no murmur noted,heart,heart
3300,left breast tissue and new superior deep margin,breast,breast tissue
10163,the knee was again copiously irrigated and dried,knee,
3617,the wound was then irrigated using sterile saline and hemostasis was obtained using bovie electrocautery,hemostasis electrocautery,wound saline
10106,general endotracheal anesthesia with a dual lumen tube,endotracheal anesthesia tube,endotracheal lumen tube
4948,a left c8 radiculopathy double crush syndrome ,radiculopathy,crush
3162,so at this point there is no further decompression,decompression,
3459,this showed no significant obstructive lesion other than what was known on the ultrasound,ultrasound,
1515,there is no evidence of enlarged abdominal aorta to palpation,abdominal,abdominal aorta
3378,a 15 scalpel was used to do a discectomy at c5 c6 from endplate to endplate and uncovertebral joint,discectomy,c5 c6 endplate endplate
1891,squamous cell carcinoma of the scalp,carcinoma,squamous cell carcinoma scalp
10368,the patient s bladder was then emptied,bladder,patient bladder
4191,the mid left circumflex is a high grade 80 diffuse tortuous stenosis,stenosis,
11654,right upper lobe lung moderately differentiated non small cell carcinoma adenocarcinoma ,carcinoma,lung
3030,since the last evaluation she has had an mri performed which was largely unremarkable except for a ,mri,
11275,he wonders whether he could use a knee brace to help him with that issue as well,knee,
8708,hydrodissection was employed using bss on a blunt 27 gauge needle,needle,
1148,ct guided frameless stereotactic radiosurgery for the right occipital arteriovenous malformation using dynamic tracking,ct,
4002,the conjunctiva is quiet in the right eye,eye,conjunctiva eye
4183,procedure detail a bronchoscope was inserted through the oroendotracheal tube which was partially obstructed with blood clots,tube,oroendotracheal tube blood clots
107,frequent premature ventricular contractions,ventricular,ventricular
4312,atrial septum is intact,atrial,
5360,for the cranial incision the ventriculostomy was brought out through a separate stab wound,incision,cranial incision wound
10977,refractory hypertension much improved,hypertension,
8958,no bleeding problems have been noted,bleeding,
7067,under fluoroscopy the right sacral alar notch was identified,fluoroscopy,
988,she will be extubated as per the anesthesia service,anesthesia,
8783,the canal was then debrided with femoral canal curettes,femoral,canal femoral canal
1297,there is extensive sigmoid diverticulosis without evidence of inflammation or bleeding,bleeding,sigmoid
3269,total colonoscopy with biopsy and snare polypectomy,colonoscopy biopsy,biopsy
2632,there are no signs of masses or hernias over the patient s abdomen,abdomen,patient
11171,however there was an ultrasound of the neck performed on the same day,ultrasound neck,
8711,the brachial artery was then clamped proximally and distally,artery,brachial artery
1907,moving to 16 on the upper left incision was made with a 15 blade,incision,upper left
10532,within the pelvis the uterus demonstrates a thickened appearing endometrium,uterus pelvis,pelvis uterus endometrium
3233,0 ml of solu medrol and the foot was scrubbed and prepped in a normal sterile orthopedic manner,orthopedic foot,solu medrol
1041,chronic knee pain,knee,
2125,one was able to insert two fingers to the distal and proximal aspects of the _cast,distal,
5105,bladder retractor was placed to protect the bladder,bladder,bladder
9317,air was aspirated from the stomach and panendoscope was slowly withdrawn carefully examining the lumen of the bowel,stomach,stomach lumen bowel
9458,anterior cervical fusion c5 c,cervical anterior,c5 c
5490,red irritated eye,eye,eye
81,no evidence of inguinal hernias,inguinal,inguinal hernias
8402,advanced maternal age and hypertension,hypertension,
8019,partial rotator cuff tear left shoulder,shoulder,
1225,there is no erythema swelling of canals,swelling,erythema
7700,a single mediastinal chest tube and bilateral pleural blake drains were placed,chest tube,pleural blake drains
9522,blood pressure 102 64 heart rate of 89 respiratory rate of 12 temperature 9,respiratory heart,heart
9735,the stroke was reportedly verified on mri scan dated 1 17 9,mri,
7046,this is a 55 year old female who is having a colonoscopy to screen for colon cancer,colonoscopy,female colon cancer
2751,we assured hemostasis using bone wax prior to placing the plate,hemostasis,bone
11063,with the operating microscope and greenwood bipolar forceps we then systematically debulked this tumor,tumor,tumor
8713,the cystic artery was found medially and slightly posterior to the cystic duct,artery,cystic artery cystic duct
7580,metatarsal head was delivered into the wound,metatarsal,wound
3548,otherwise normal upper endoscopy to the descending duodenum,endoscopy,upper endoscopy duodenum
3852,respiratory arrest,respiratory,
5124,he otherwise has no organomegaly masses or abdominal hernias evident,abdominal,organomegaly masses abdominal hernias
8702,the chest retractor was positioned,chest,chest retractor
1106,this included an ultrasound of his abdomen which showed just mild cirrhosis,abdomen ultrasound,abdomen
845,nasal obstruction,nasal,nasal
9213,the testis was identified right at the external inguinal ring,inguinal,testis inguinal
680,the posterior left ventricular branch has a proximal 50 to 60 stenosis,stenosis ventricular,posterior left ventricular
2248,the uterus was then returned to its normal position of the abdominal cavity,abdominal uterus,uterus abdominal cavity
11725,excision of the olecranon bursa left elbow,excision,
2276,the nerve was well mobilized from the cubital tunnel preserving the small longitudinal vessels accompanying it,nerve,nerve cubital vessels
8870,right achilles tendon rupture,tendon,
1816,the t12 fracture has the most significant kyphotic deformity,fracture,t12
4968,adequate general endotracheal anesthesia was induced,endotracheal anesthesia,endotracheal
8909,the skin paddle was then sutured to the fascia and muscle with interrupted 3 0 vicryl,fascia,skin fascia muscle
1166,ct cervical spine,cervical ct spine,cervical spine
4134,the abdomen was reinsufflated,abdomen,abdomen
