text,label,spacy_label
computer-assisted spinal procedure,,spinal
biopsy of breast accessed through the skin with stereotactic guidance,biopsy breast,breast skin
mri of both breasts with and without contrast,mri contrast,breasts
respiratory motion management simulation,respiratory,
radiation therapy plan,,
special radiation therapy planning,,
special radiation treatment procedure,,
hydration infusion into a vein,,
"infusion, normal saline solution, sterile (500 ml = 1 unit)",,saline
"fusion of upper spine bones, posterior or posterolateral approach",spine,upper spine
partial removal of upper spine bone with release of spinal cord and/or nerves,spine,upper spine spinal cord nerves
drainage of abscess,,
"removal of growth (0.5 centimeters or less) of the scalp, neck, hands, feet, or genitals",,scalp genitals
"new patient home visit, typically 30 minutes",,patient
"established patient home visit, typically 15 minutes",,patient
application of blood vessel compression or decompression device to 1 or more areas,decompression,blood vessel
"observation, testing, and recording of abnormal eye movement",eye,eye
assessment and recording of abnormal eye movement with patient in a rotating chair,eye,eye patient
use of vertical electrodes during eye or balance evaluation,eye,eye
"measurement of brain wave (eeg) activity, 41-60 minutes",brain,brain
needle measurement and recording of electrical activity of head or trunk muscles,needle,head or trunk muscles
digital analysis of electrical brain wave activity (eeg),brain,brain
"x-ray of wrist, 2 views",,
test for exercise-induced lung stress,,lung
determination of lung volumes using gas dilution or washout,,lung
sleep monitoring of patient (6 years or older) in sleep lab,,patient
sleep monitoring of patient (6 years or older) in sleep lab with continued pressured respiratory assistance by mask or breathing tube,respiratory tube,patient tube
"smoking and tobacco use intermediate counseling, greater than 3 minutes up to 10 minutes",,tobacco
"anesthesia for diagnostic examination of gallbladder and pancreatic, liver, and bile ducts using an endoscope",anesthesia gallbladder,gallbladder pancreatic liver bile ducts
"evaluation of occupational therapy, typically 45 minutes",,
destruction of (less than 0.5 centimeters) growths of the bladder and bladder canal (urethra) using an endoscope,bladder,bladder bladder canal urethra
oncology care model (ocm) monthly enhanced oncology services (meos) payment for  ocm enhanced services.  g9678 payments may only be made to ocm practitioners for ocm beneficiaries for the furnishment of enhanced services as defined in the ocm participation,,
"injection, garamycin, gentamicin, up to 80 mg",,garamycin gentamicin
radiological supervision and interpretation of imaging of arteries of both arms or legs,,arteries legs
heart rhythm symptom-related tracing and interpretation of 24-hour ekg monitoring up to 30 days,heart,heart
"injection, aminophyllin, up to 250 mg",,aminophyllin
"injection, dipyridamole, per 10 mg",,dipyridamole
injection of carpal tunnel,injection,carpal
closed treatment of broken forearm bones,,forearm bones
open treatment of broken of lower forearm or growth plate separation with insertion of hardware 3 or more fragments,,
removal of tissue of palm,,tissue
"application of cast, elbow to finger (short arm)",,
slings,,
"cast supplies, short arm cast, adult (11 years +), fiberglass",,
external ekg recording for more than 48 hours up to 21 days,,21
evaluation of swallowing function,,
evaluation and recording of swallowing and voice box sensory function using an endoscope,,
insertion of new or replacement of permanent pacemaker including upper and lower chamber electrodes,,upper
placement of temporary pacemaker leads,,
insertion or replacement of single or dual chamber pacing defibrillator leads,,
insertion of catheters for 3d mapping of electrical impulses to heart muscles,heart,catheters for 3d heart muscles
programmed heart rhythm stimulation after drug infusion into a vein,heart,heart
evaluation and insertion of catheters for creation of complete heart block,heart,catheters heart
insertion of catheters for treatment of abnormal heart rhythm,heart,catheters heart
"evaluation and insertion of catheters for recording, pacing, and treatment of abnormal heart rhythm",heart,catheters heart
ultrasound evaluation of heart blood vessel,ultrasound heart,heart blood vessel
collection of blood specimen from a completely implantable venous access device,,blood specimen venous
amylase (enzyme) level,,amylase
beta-2 microglobulin (protein) level,,beta-2 microglobulin
bilirubin level,,bilirubin
carcinoembryonic antigen (cea) protein level,,carcinoembryonic antigen
cyanocobalamin (vitamin b-12) level,,cyanocobalamin vitamin b-12
erythropoietin (protein) level,,erythropoietin
folic acid level,,folic acid
gammaglobulin (immune system protein) measurement,,gammaglobulin
haptoglobin (serum protein) level,,haptoglobin serum
homocysteine (amino acid) level,,homocysteine amino acid
iron level,,iron
iron binding capacity,,iron
lactate dehydrogenase (enzyme) level,,lactate dehydrogenase
magnesium level,,magnesium
"nephelometry, test method using light",,
phosphate level,,
"protein measurement, serum",,serum
testosterone (hormone) level,,
transferrin (iron binding protein) level,,transferrin iron
"thyroid hormone, t3 measurement",,thyroid
"uric acid level, blood",,uric acid blood
"red blood count, manual test",,blood
"red blood count automated, with additional calculations",,blood
measurement c-reactive protein for detection of infection or inflammation,infection,c-reactive
immunologic analysis for detection of tumor antigen,tumor,tumor
immunologic analysis technique on serum,,serum
rheumatoid factor level,,
hepatitis b core antibody measurement,,
hepatitis b core antibody (igm) measurement,,igm
detection test for hepatitis b surface antigen,,
hydration infusion into a vein 31 minutes to 1 hour,,vein
"infusion into a vein for therapy, prevention, or diagnosis",,
infusion into a vein for therapy prevention or diagnosis additional sequential infusion up to 1 hour,,
"infusion into a vein for therapy, prevention, or diagnosis, concurrent with another infusion",,
"injection of different drug or substance into a vein for therapy, diagnosis, or prevention",injection,
application of on-body injector for injection under skin,injection,skin
infusion of different chemotherapy drug or substance into a vein,,
infusion of different chemotherapy drug or substance into a vein up to 1 hour,,
irrigation of implanted venous access drug delivery device,,venous
therapeutic removal of whole blood to correct blood level imbalance,,blood blood
"chemotherapy administration, intravenous infusion technique; initiation of infusion in the office/clinic setting using office/clinic pump/supplies, with continuation of the infusion in the community setting (e.g., home, domiciliary, rest home or assisted l",,intravenous
"injection, aprepitant, 1 mg",,
"injection, epoetin alfa, (for non-esrd use), 1000 units",,epoetin alfa
"injection, diphenhydramine hcl, up to 50 mg",,diphenhydramine hcl
"injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg",,globulin
"injection, granisetron, extended-release, 0.1 mg",,granisetron extended-release
"injection, pegfilgrastim, 6 mg",,pegfilgrastim
"injection, methylprednisolone sodium succinate, up to 40 mg",,methylprednisolone sodium succinate
"injection, magnesium sulfate, per 500 mg",,magnesium sulfate
"injection, azacitidine, 1 mg",,azacitidine
"injection, bortezomib (velcade), 0.1 mg",,bortezomib velcade
"injection, carboplatin, 50 mg",,carboplatin
"injection, fluorouracil, 500 mg",,fluorouracil
"injection, gemcitabine hydrochloride, 200 mg",,gemcitabine hydrochloride
"injection, oxaliplatin, 0.5 mg",,oxaliplatin
"injection, paclitaxel, 1 mg",,paclitaxel
"injection, pembrolizumab, 1 mg",,
"injection, rituximab, 10 mg",,rituximab
"injection, ferumoxytol, for treatment of iron deficiency anemia, 1 mg (non-esrd use)",,ferumoxytol iron
"injection, filgrastim-sndz, biosimilar, (zarxio), 1 microgram",,
examination of lung airways using an endoscope,,lung airways
computer-assisted image-guided navigation of lung airways using an endoscope,,lung airways
"needle biopsy of windpipe cartilage, airway, and/or lung using an endoscope",needle biopsy,cartilage airway lung
strapping of knee,knee,
strapping of ankle and/or foot,foot,
acne surgery,surgery,
needle measurement and recording of electrical activity of muscles of arm or leg limited study,needle,leg
"nerve transmission studies, 5-6 studies",nerve,
"bacterial colony count, urine",,urine
"injection, degarelix, 1 mg",,
"insertion of stent, removal of plaque and/or balloon dilation of coronary vessel during heart attack, accessed through the skin",coronary heart,coronary vessel heart skin
aspiration of eye fluid,eye,eye
examination of eye using an endoscope,eye,eye
laser destruction of eye fluid (vitreous) between the lens and retina,eye,eye fluid vitreous lens retina
repair of detached retina and drainage of eye fluid between lens and retina,eye,retina eye fluid lens retina
removal of implant material from inside the eye,eye,eye
"injection, triamcinolone acetonide, preservative free, 1 mg",,triamcinolone acetonide
strapping of elbow or wrist,,
strapping of hand or finger,,
strapping of toes,,
"pessary, non rubber, any type",,
prostate cancer screening; prostate specific antigen test (psa),prostate,prostate cancer prostate
incision to improve eye fluid flow,incision eye,eye fluid
dilation to improve eye fluid flow,eye,eye fluid
interactive complexity,,
"treatment of speech, language, voice, communication, and/or hearing processing disorder",,
removal of hemorrhoid by rubber banding,,
"x-ray of pelvis, minimum of 3 views",,pelvis
injection of incremental dosages of allergen,injection,
anesthesia for nerve block and injection procedure,anesthesia nerve injection,nerve
computer-assisted procedure inside the brain,brain,brain
use of operating microscope,,
stool analysis for blood,,blood
"x-ray of upper spine, 6 or more views",,upper spine
mri scan of arm before and after contrast,mri contrast,
ct scan leg with contrast injection,ct contrast injection,leg
"x-ray of hand, 2 views",,
"x-ray of both knees, standing, front to back view",,
evaluation of lower heart chamber assist device with physician analysis,heart,heart
insertion of catheter for diagnostic evaluation of right heart structures,catheter heart,heart
insertion of catheter in right heart for x-ray imaging of blood vessels or grafts,catheter heart,heart blood vessels grafts
biopsy of the wall dividing the left and right heart,biopsy heart,wall heart
stool analysis for blood to screen for colon tumors,,blood colon tumors
"telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth",,patient
ct scan pelvis with contrast,ct contrast pelvis,pelvis
monitoring and localization of seizure activity over 24-hour period using 16-channel electroencephalograph (eeg),,
"control of bleeding of esophagus, stomach, and/or upper small bowel using an endoscope",bleeding,esophagus stomach upper bowel
imaging of digestive tract done from the inside of the digestive tract,,digestive tract digestive tract
"hyaluronan or derivative, durolane, for intra-articular injection, 1 mg",,intra-articular
"hyaluronan or derivative, hyalgan, supartz or visco-3, for intra-articular injection, per dose",,intra-articular
"insertion of sacral nerve neurostimulator electrodes, accessed through the skin",nerve,sacral nerve skin
"catheterization for collection of specimen, single patient, all places of service",catheterization,patient
aspiration of lung secretions from lung airways using an endoscope,,lung secretions lung airways
examination of lung airways using an endoscope with imaging guidance and ultrasound,ultrasound,lung airways
physician interpretation and report of measurement and graphic recording of amount and speed of breathed air over 30-day period,,
insertion of abdominal cavity catheter using an endoscope,catheter abdominal,abdominal cavity
revision of abdominal cavity catheter using an endoscope,catheter abdominal,abdominal cavity
suture of internal abdominal lining using an endoscope,abdominal,abdominal lining
removal of abdominal cavity catheter,catheter abdominal,abdominal cavity
removal of polyps or growths in large bowel using an endoscope,,polyps bowel
ldl cholesterol level,,cholesterol
parathormone (parathyroid hormone) level,,parathyroid
"red blood cell sedimentation rate, to detect inflammation",,blood cell
complex chronic care management services 60 minutes clinical staff time,,
complex chronic care management services each additional 30 minutes clinical staff time,,
placement of breast localization devices accessed through the skin with mammographic guidance,breast,breast skin
"x-ray of shoulder, 1 view",,
imaging of surgical specimen,,
blood creatinine level,,blood creatinine
urea nitrogen level to assess kidney function,,urea nitrogen kidney
change of breathing tube of windpipe in neck,tube neck,tube
microscopic genetic analysis of tissue,,tissue
microscopic genetic examination using computer-assisted technology,,
application of ultraviolet light to skin,,ultraviolet light skin
removal of 2 to 4 thickened skin growths,,skin
small bone graft harvest,,
incision of foot bone,incision foot,
partial removal of foot or heel bone,foot,
"incision to lengthen toe tendon, open procedure",incision,
correction of toe joint deformity,,joint
correction of rigid deformity of first joint of big toe using implant,,joint
incision to straighten toe bone,incision,
amputation of foot,foot,
injections of anesthetic and/or steroid drug into nerve of foot,foot nerve,nerve
x-ray of shoulder blade,shoulder,
"x-ray of hip with pelvis, minimum of 4 views",,pelvis
insertion of radiation therapy devices in vagina for radiation therapy,,vagina
"radiation treatment devices, design and construction, simple",,
"high dose brachytherapy , 1 channel",,
"medical nutrition therapy, assessment and intervention, each 15 minutes",,
"medical nutrition therapy re-assessment and intervention, each 15 minutes",,
"established patient assisted living visit, typically 40 minutes",,patient
"established patient assisted living visit, typically 60 minutes",,patient
"new patient home visit, typically 45 minutes",,patient
"new patient home visit, typically 60 minutes",,patient
"new patient home visit, typically 75 minutes",,patient
"established patient home visit, typically 40 minutes",,patient
"established patient home visit, typically 60 minutes",,patient
"brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",,patient e/m
removal of nasal sinus tissue using an endoscope,nasal,nasal sinus tissue
computer-assisted procedure outside the brain,brain,brain
nuclear medicine imaging for thyroid uptake measurements,,nuclear thyroid
acute digestive tract blood loss imaging,,blood
"nuclear medicine study of heart wall motion at rest or stress with evaluation of blood ejection from heart, single study",heart,nuclear heart wall blood heart
nuclear medicine study of blood circulation in the lungs,,nuclear blood lungs
nuclear medicine study of kidney with assessment of blood flow and function,,nuclear kidney blood
"nuclear medicine study of radioactive material distribution at tumor locations in whole body, single day imaging",tumor,nuclear tumor
nuclear medicine study of radioactive material distribution,,nuclear material
nuclear medicine study of radioactive material distribution at site of inflammation,,nuclear
"removal of foreign body in external eye, conjunctiva or sclera",,eye conjunctiva sclera
diagnostic imaging of eyes,,eyes
blood glucose (sugar) measurement using reagent strip,,blood glucose sugar
"injection, tetanus immune globulin, human, up to 250 units",,globulin human
"removal of plaque in arteries in one leg, endovascular, accessed through the skin or open procedure",,arteries leg endovascular skin
"removal of plaque and insertion of stents into arteries in one leg, endovascular, accessed through the skin or open procedure",,arteries leg endovascular skin
"removal of plaque in artery in one leg, endovascular, accessed through the skin or open procedure",artery,artery leg endovascular skin
"analysis and reprogramming of inner ear (cochlear) implant, patient age 7 years or older",,inner ear patient
evaluation of hearing rehabilitation first hour,,
"x-ray of spine, 2 or 3 views",,"spine,"
"x-ray of abdomen, minimum of 3 views",,abdomen
removal of growth of tongue and/or vocal cord stripping using an endoscope with operating microscope or telescope,,tongue cord
examination to assess movement of vocal cord flaps using an endoscope,,cord flaps
examination of windpipe and lung airways through permanent skin opening to windpipe using an endoscope,,lung airways skin
reshaping of nasal cartilage,nasal,nasal cartilage
cell examination,,cell
lengthening of calf muscle,,calf muscle
application of short leg cast (below knee to toes),knee,leg
"cast supplies, short leg cast, adult (11 years +), fiberglass",,leg
tissue transfer repair of wound (10 sq centimeters or less) of the trunk,,tissue wound trunk
tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the trunk,,tissue wound trunk
"insertion of breast prosthesis at time of breast repositioning, removal or reconstruction",breast,breast breast
"screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, requiring interpretation by physician",cervical,cervical layer
bacterial culture for aerobic isolates,,
"evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)",,
"needle biopsy of kidney, accessed through the skin",needle biopsy,kidney skin
"home dialysis services per month, patient 20 years of age or older",,patient
creation of sling around bladder canal (urethra) to control leakage,bladder,bladder canal urethra
replacement of stomach stoma tube accessed through skin,stomach tube,stomach stoma tube skin
anesthesia for retinal surgery,surgery anesthesia,retinal
injection of chemical agent into single incompetent vein of leg using ultrasound guidance,ultrasound injection,vein leg
"mechanochemical destruction of insufficient vein of arm or leg, accessed through the skin using imaging guidance",,vein leg skin
chest ultrasound examination of heart,chest ultrasound heart,heart
aspiration and/or injection of intermediate joint or joint capsule with recording and reporting using ultrasound guidance,ultrasound injection,joint
complete ultrasound of joint of arm or leg,ultrasound,joint
pap test,,
pathology examination of tissue specimen during surgery,surgery,tissue specimen
microscopic genetic examination manual,,
molecular pathology procedure; physician interpretation and report,,
"insertion of needle into vein, patient 3 years or older",needle,patient
urine pregnancy test,,urine
bacterial culture,,
removal of blood clot and portion of artery of neck,artery neck,blood clot artery
insertion of catheter into artery on one side of chest for diagnosis or treatment including radiological supervision and interpretation,artery chest catheter,artery
removal of brain tumor,tumor brain,brain tumor
biopsy of lung using an endoscope,biopsy,biopsy lung
application of mechanical traction to 1 or more areas,,
pap test (pap smear),,
"therapeutic massage to 1 or more areas, each 15 minutes",,
arterial puncture withdrawal of blood for diagnosis,,arterial puncture blood
blood gases measurement,,blood gases
electronic analysis and reprogramming of spinal canal drug infusion pump,,spinal canal
"hyaluronan or derivitive, genvisc 850, for intra-articular injection, 1 mg",,intra-articular
"compounded drug, not otherwise classified",,
glutamyltransferase (liver enzyme) level,,glutamyltransferase liver
"liver enzyme (sgot), level",,liver
"liver enzyme (sgpt), level",,liver
fitting of contact lens for treatment of ocular surface disease,,ocular surface
"emergency department visit, self limited or minor problem",,
"injection of chemical for destruction of nerve muscles on trunk, 5 or more muscles",nerve injection,nerve muscles trunk
"nerve transmission studies, 3-4 studies",nerve,
"initial nursing facility visit, typically 25 minutes per day",,
cell examination of body fluid,,cell body fluid
assessment and recording of balance system during hot and cold irrigation of both ears,,
anesthesia for liver biopsy (accessed through the skin),biopsy anesthesia,liver biopsy skin
anesthesia for procedure in lower abdomen including urinary tract,abdomen anesthesia,abdomen urinary tract
anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant,anesthesia,upper urinary duct kidney
"anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg",anesthesia,nerves fascia bursae of
"anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm",anesthesia shoulder,nerves fascia bursae of
insertion of indwelling catheter and administration of substance into spinal canal of upper or middle back,catheter,spinal canal
"injection, promethazine hcl, up to 50 mg",,promethazine hcl
"chemical destruction of incompetent vein of arm or leg, accessed through the skin using imaging guidance",,vein leg skin
radiological supervision and interpretation x-ray of abdominal aorta,abdominal,abdominal aorta
"injection, heparin sodium, per 1000 units",,heparin sodium
"x-ray of femur, 1 view",,femur
nuclear medicine study of vessels of heart using drugs or exercise single study,heart,nuclear vessels heart
removal of impacted ear wax by washing,,ear
"injection, methylprednisolone acetate, 20 mg",,methylprednisolone acetate
"removal of fluid from chest cavity with insertion of indwelling catheter and imaging guidance, accessed through the skin",chest catheter,skin
ultrasound study of arteries and arterial grafts of one arm or limited,ultrasound,arteries arterial grafts of one arm or
"new patient home visit, typically 20 minutes",,patient
"established patient home visit, typically 25 minutes",,patient
anesthesia for procedure on lower spine,anesthesia spine,
insertion of left heart electrode for pacing defibrillator device,heart,heart
insertion of heart rhythm monitor under skin,heart,heart skin
"evaluation, testing, and programming adjustment of permanent multiple lead pacemaker system with physician analysis, review, and report",,
"insertion of catheters for recording, pacing, and attempted induction of abnormal rhythm in left upper heart",heart,catheters heart
"insertion of catheters for recording, pacing, and attempted induction of abnormal rhythm in left lower heart",heart,catheters heart
insertion of catheters for creation of complete heart block,heart,catheters heart
"physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; testing not occurring more frequent",heart atrial,patient inr patient heart venous thromboembolism
injection of biodegradable material next to prostate,injection prostate,prostate
"implantation of lower leg neurostimulator electrode, accessed through the skin",,leg skin
"tissue marker, implantable, any type, each",,tissue
incision or removal of spinal nerve,incision nerve,spinal nerve
"radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 6-10 mev",,tangential electron
liver function blood test panel,,liver blood
cholesterol level,,cholesterol
triglycerides level,,triglycerides
bacterial urine culture,,urine culture
"therapeutic procedures to increase strength or endurance of respiratory muscles, face to face, one on one, each 15 minutes (includes monitoring)",respiratory,respiratory muscles
"therapeutic procedures to improve respiratory function, other than described by g0237, one on one, face to face, per 15 minutes (includes monitoring)",respiratory,respiratory
transplantation of donor liver to anatomic position,,liver
transplantation of donor kidney,,kidney
amputation of thigh through thigh bone,,thigh
amputation of both lower leg bones,,leg bones
placement of graft for repair of aorta and groin arteries including radiological supervision and interpretation,,graft aorta arteries
"exposure of one groin artery for delivery of graft, accessed through the skin",artery,groin artery graft skin
"insertion of stents in artery in one side of groin, endovascular, accessed through the skin or open procedure",artery,artery groin endovascular skin
"insertion of stents into arteries in one leg, endovascular, accessed through the skin or open procedure",,arteries leg endovascular skin
"injection by continuous infusion of anesthetic agent, brachial (arm) nerve bundle",nerve injection,brachial (arm)
injection of anesthetic agent underarm (axillary) nerve,nerve injection,axillary
"removal of vena cava filter by endovascular approach, including radiological supervision and interpretation",,endovascular
"occlusion of arterial or venous hemorrhage with radiological supervision and interpretation, roadmapping, and imaging guidance",,arterial venous
"replacement of stomach to small bowel tube using fluoroscopic guidance with contrast, accessed through the skin",stomach tube,stomach bowel tube skin
radiological supervision and interpretation of change of tube (accessed through the skin) or drainage catheter with contrast monitoring,catheter contrast tube,tube skin
imaging for abscess or abnormal drainage tract procedure,,tract
ultrasound study of arteries of both legs at rest and exercise,ultrasound,arteries legs
stomach reduction procedure with partial removal of stomach using an endoscope,stomach,stomach stomach
placement of flap to repair abdominal wall,abdominal,
collection and analysis of exhaled air for evaluation of lung function at rest,,exhaled lung
insertion of catheter into aorta,catheter,
"balloon dilation of arteries in one leg, endovascular, accessed through the skin or open procedure",,arteries leg endovascular skin
"balloon dilation of artery of one leg, endovascular, accessed through the skin or open procedure",artery,artery leg endovascular skin
"balloon dilation of artery in one leg, endovascular, accessed through the skin or open procedure",artery,artery leg endovascular skin
radiological supervision and interpretation x-ray of abdominal aorta and both leg arteries,abdominal,abdominal aorta leg arteries
removal of foot tendon,foot tendon,
anesthesia for closed procedure in chest,chest anesthesia,
anesthesia for open or endoscopic procedure at upper arm and shoulder joint including,anesthesia shoulder,upper
release of shoulder biceps tendon using an endoscope,shoulder tendon,
removal of lymph nodes of mid-chest cavity using an endoscope,,lymph nodes mid-chest cavity
removal of single thickened skin growth,,skin
"injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",contrast,
injection of substance into spinal canal of lower back or sacrum,injection,spinal canal sacrum
"psychological testing evaluation by qualified health care professional, additional 60 minutes",,
"psychological or neuropsychological test administration and scoring by qualified health care professional, first 30 minutes",,
"psychological or neuropsychological test administration and scoring by qualified health care professional, additional 30 minutes",,
anesthesia for procedure on eye,anesthesia eye,eye
"anesthesia for procedure on esophagus and neck, age 1 year or older",anesthesia esophagus,esophagus
ct scan head or brain before and after contrast,ct brain contrast,head or brain
mri scan of arm joint with contrast,mri contrast,joint
suspension of small bowel using mesh or prosthesis,,bowel
removal of bladder and lymph nodes on both sides of pelvis with transplantation of urinary ducts (ureters) to small or large bowel with creation of urinary opening,bladder pelvis,bladder lymph nodes pelvis urinary ducts ureters bowel urinary
injection procedure for x-ray imaging of the bladder or during voiding,bladder injection,bladder
destruction and/or removal of (2.0 to 5.0 centimeters) medium growths of the bladder and bladder canal (urethra) using an endoscope,bladder,bladder bladder canal urethra
destruction and/or removal of large growths of the bladder using an endoscope,bladder,bladder
removal of prostate gland,prostate,prostate gland
removal of prostate gland and surrounding lymph nodes on both sides of the pelvis through abdominal incision,incision abdominal pelvis prostate,prostate gland lymph nodes pelvis
evaluation of heart function using tilt table,heart,heart
screening test for antibody to noninfectious agent,,
immunologic analysis technique on body fluid,,body fluid
pure tone air and bone conduction hearing assessment,,bone
measurement of hydrogen in breath to test for gi symptoms,,hydrogen
"established patient assisted living visit, typically 15 minutes",,patient
"established patient assisted living visit, typically 25 minutes",,patient
mechanical separation of plasma from opening blood,,plasma blood
blood bank physician services for cross match and/or evaluation and written report,,blood
harvest of bone fragments for spine surgery graft,surgery spine,bone spine graft
combined multiple vein and artery heart artery bypasses,artery heart,
"repair of wound (2.6 to 7.5 centimeters) of the scalp, neck, underarms, genitals, trunk, arms and/or legs",,wound scalp trunk legs
anesthesia for x-ray procedure on arteries,anesthesia,arteries
"neurobehavioral status examination by qualified health care professional with interpretation and report, first 60 minutes",,
"neuropsychological testing evaluation by qualified health care professional, first 60 minutes",,
"neuropsychological testing evaluation by qualified health care professional, additional 60 minutes",,
stereotactic body radiation therapy 1 or more lesions using imaging guidance,,
therapeutic radiology port films,radiology,
"stereotactic radiation treatment management of 1 or more lesions using imaging guidance, per treatment course",,
"radiation treatment delivery,3 or more separate treatment areas, custom blocking, tangential ports, wedges, rotational beam, compensators, electron beam; 11-19 mev",,tangential electron
"intra-fraction localization and tracking of target or patient motion during delivery of radiation therapy (eg,3d positional tracking, gating, 3d surface tracking), each fraction of treatment",,patient surface
"x-ray of upper digestive tract, kidneys, urinary ducts (ureters), and bladder",bladder,upper digestive kidneys urinary ducts ureters bladder
anesthesia for procedure on brain,anesthesia brain,brain
"vessel mapping of vessels for hemodialysis access (services for preoperative vessel mapping prior to creation of hemodialysis access using an autogenous hemodialysis conduit, including arterial inflow and venous outflow)",,vessel vessels vessel arterial inflow venous outflow
radiation therapy total body port plan,,body port
initiation and management of continued pressured respiratory assistance by mask or breathing tube,respiratory tube,tube
study of sleep patterns,,
monitoring and recording of gastroesophageal reflux with ph electrode insertion including analysis and interpretation,,gastroesophageal
"unattended sleep study with recording of heart rate, oxygen, respiratory airflow and effort",respiratory heart,heart oxygen respiratory
"injection, meperidine hydrochloride, per 100 mg",,meperidine hydrochloride
"levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",,levalbuterol dme
creatine kinase (cardiac enzyme) level,,creatine kinase cardiac
natriuretic peptide (heart and blood vessel protein) level,,heart blood vessel
blood potassium level,,blood
"red blood count, automated test",,blood
coagulation function measurement,,
screening test for autoimmune disorder,,
injection of chemical for destruction of salivary glands on both sides of the mouth,injection,salivary glands
"electronic analysis of implanted brain, spinal cord or peripheral stimulation device",,brain peripheral
"injection, rimabotulinumtoxinb, 100 units",,
needle measurement and recording of electrical activity of muscles of arms or legs,needle,legs
insertion of needles and skin electrodes for measurement and recording of stimulated sites in the arms and legs,,needles skin legs
monitoring and localization of seizure activity over 24-hour period using portable 16-channel electroencephalograph (eeg),,
"continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)",,patient patient
closed treatment of broken ankle,,
"x-ray of heel, minimum of 2 views",,
opening of windpipe through neck for insertion of breathing tube,tube neck,tube
examination of lung with removal of lung lobe using an endoscope,,lung lung lobe
examination of chest using an endoscope with lymph node biopsy,chest biopsy,lymph node
analysis of substance using immunoassay technique,,
"injection, leucovorin calcium, per 50 mg",,leucovorin calcium
"injection, palonosetron hcl, 25 mcg",,palonosetron hcl
ultrasound scanning for medication response in head and neck vessel blood flow (inside the brain),ultrasound neck,head and neck vessel blood brain
anesthesia for procedure on facial bones or skull,anesthesia,facial bones
testing of nerve from ear to brain (cochlear),brain nerve,nerve ear brain
"analysis and programming of inner ear (cochlear) implant, patient age 7 years or older",,inner ear patient
removal of heart rhythm monitor from under skin,heart,heart skin
ct scan of middle spine with contrast,ct spine contrast,spine
removal of up to and including 15 skin tags,,skin
injection of more than 7 skin growths,injection,skin
"aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",,aminolevulinic acid hcl
"ambulance service, conventional air services, transport, one way (rotary wing)",,
"rotary wing air mileage, per statute mile",,
placement of ear probe for computerized cochlear assessment of repeated sounds with interpretation and report,,ear cochlear
"repair of wound of scalp, arms, and/or legs",,wound scalp legs
"replacement of aortic valve with prosthetic valve, accessed through the skin",,skin
"replacement of aortic valve using artificial valve on heart-lung machine, open procedure",,aortic valve
microscopic evaluation of deep cells of the eye,eye,deep cells eye
mra scan of neck blood vessels with contrast,contrast neck,mra blood vessels
mri scan of brain with contrast,mri brain contrast,brain
removal of more than 4 thickened skin growths,,skin
trimming of fingernails or toenails,,
"new patient assisted living visit, typically 30 minutes",,patient
"trimming of dystrophic nails, any number",,dystrophic nails
measurement of esophageal swallowing movement,,esophageal
monitoring of gastroesophageal reflux including analysis and interpretation,,gastroesophageal
"monitoring of gastroesophageal reflux including analysis and interpretation, prolonged (greater than 1 hour, up to 24 hours)",,gastroesophageal
testing of tone and sensation of rectum and anus,,rectum
study of anorectal pressure generated by muscles surrounding anus (sphincter),,anorectal muscles surrounding anus
removal of skin and/or muscle first 20 sq cm or less,,skin muscle
removal of skin and/or muscle,,skin muscle
application of chemical agent to excessive wound tissue,,wound tissue
creation of shunt to improve eye fluid flow with graft,eye,eye fluid graft
radiological supervision and interpretation of imaging of vein of one arm or leg,,
"removal or crushing kidney stone (over 2 centimeters) or insert kidney stent using an endoscope, accessed through the skin",,kidney skin
removal or manipulation of stone in urinary duct (ureter) or kidney using an endoscope,,stone urinary duct kidney
injections of anesthetic and/or steroid drug into upper or middle spine nerve root using imaging guidance,spine nerve,
insertion of needles and skin electrodes for measurement and recording of stimulated sites in the arms,,needles skin
insertion of needles and skin electrodes for measurement and recording of stimulated sites in the legs,,needles skin legs
